timestamp,client,command,args
"18:48:29.270","[0 54.38.154.44:38296]","BRPOP","""celery"" ""celery\x06\x163"" ""celery\x06\x166"" ""celery\x06\x169"" ""1"""
"18:48:29.453","[0 103.187.94.136:47526]","BRPOP","""celery"" ""celery\x06\x163"" ""celery\x06\x166"" ""celery\x06\x169"" ""1"""
"18:48:30.578","[0 54.38.154.44:38296]","BRPOP","""celery"" ""celery\x06\x163"" ""celery\x06\x166"" ""celery\x06\x169"" ""1"""
"18:48:30.997","[0 103.187.94.136:47526]","BRPOP","""celery"" ""celery\x06\x163"" ""celery\x06\x166"" ""celery\x06\x169"" ""1"""
"18:48:31.122","[0 103.187.94.140:45232]","PUBLISH","""/0.celeryev/worker.heartbeat"" ""{\""body\"": \""eyJob3N0bmFtZSI6ICJjZWxlcnlAcm9ja3kiLCAidXRjb2Zmc2V0IjogMCwgInBpZCI6IDgzMTAsICJjbG9jayI6IDI1MTgsICJmcmVxIjogMi4wLCAiYWN0aXZlIjogMCwgInByb2Nlc3NlZCI6IDAsICJsb2FkYXZnIjogWzAuNTQsIDAuNTgsIDAuNTFdLCAic3dfaWRlbnQiOiAicHktY2VsZXJ5IiwgInN3X3ZlciI6ICI1LjYuMiIsICJzd19zeXMiOiAiTGludXgiLCAidGltZXN0YW1wIjogMTc3MDY0MTMxMC44NDExOTQsICJ0eXBlIjogIndvcmtlci1oZWFydGJlYXQifQ==\"", \""content-encoding\"": \""utf-8\"", \""content-type\"": \""application/json\"", \""headers\"": {\""hostname\"": \""celery@rocky\""}, \""properties\"": {\""delivery_mode\"": 1, \""delivery_info\"": {\""exchange\"": \""celeryev\"", \""routing_key\"": \""worker.heartbeat\""}, \""priority\"": 0, \""body_encoding\"": \""base64\"", \""delivery_tag\"": \""67e03f68-3506-4f39-a3ef-62df6b4a1196\""}}"""
"18:48:31.024","[0 54.38.154.44:38324]","PUBLISH","""/0.celeryev/worker.heartbeat"" ""{\""body\"": \""eyJob3N0bmFtZSI6ICJjZWxlcnlANjY4YzQ3YTYiLCAidXRjb2Zmc2V0IjogMCwgInBpZCI6IDUsICJjbG9jayI6IDI1MTgsICJmcmVxIjogMi4wLCAiYWN0aXZlIjogMCwgInByb2Nlc3NlZCI6IDAsICJsb2FkYXZnIjogWzAuMDcsIDAuMDMsIDAuMDFdLCAic3dfaWRlbnQiOiAicHktY2VsZXJ5IiwgInN3X3ZlciI6ICI1LjYuMiIsICJzd19zeXMiOiAiTGludXgiLCAidGltZXN0YW1wIjogMTc3MDY0MTMxMC43NjQ2MzMyLCAidHlwZSI6ICJ3b3JrZXItaGVhcnRiZWF0In0=\"", \""content-encoding\"": \""utf-8\"", \""content-type\"": \""application/json\"", \""headers\"": {\""hostname\"": \""celery@668c47a6\""}, \""properties\"": {\""delivery_mode\"": 1, \""delivery_info\"": {\""exchange\"": \""celeryev\"", \""routing_key\"": \""worker.heartbeat\""}, \""priority\"": 0, \""body_encoding\"": \""base64\"", \""delivery_tag\"": \""c28d5006-bf4e-4e62-935f-4d9c4883f1ec\""}}"""
"18:48:32.333","[0 54.38.154.44:38296]","BRPOP","""celery"" ""celery\x06\x163"" ""celery\x06\x166"" ""celery\x06\x169"" ""1"""
"18:48:32.540","[0 103.187.94.136:47526]","BRPOP","""celery"" ""celery\x06\x163"" ""celery\x06\x166"" ""celery\x06\x169"" ""1"""
"18:48:33.455","[0 103.187.94.140:45232]","PUBLISH","""/0.celeryev/worker.heartbeat"" ""{\""body\"": \""eyJob3N0bmFtZSI6ICJjZWxlcnlAcm9ja3kiLCAidXRjb2Zmc2V0IjogMCwgInBpZCI6IDgzMTAsICJjbG9jayI6IDI1MjEsICJmcmVxIjogMi4wLCAiYWN0aXZlIjogMCwgInByb2Nlc3NlZCI6IDAsICJsb2FkYXZnIjogWzAuNTQsIDAuNTgsIDAuNTFdLCAic3dfaWRlbnQiOiAicHktY2VsZXJ5IiwgInN3X3ZlciI6ICI1LjYuMiIsICJzd19zeXMiOiAiTGludXgiLCAidGltZXN0YW1wIjogMTc3MDY0MTMxMy4xNzQ1MTEsICJ0eXBlIjogIndvcmtlci1oZWFydGJlYXQifQ==\"", \""content-encoding\"": \""utf-8\"", \""content-type\"": \""application/json\"", \""headers\"": {\""hostname\"": \""celery@rocky\""}, \""properties\"": {\""delivery_mode\"": 1, \""delivery_info\"": {\""exchange\"": \""celeryev\"", \""routing_key\"": \""worker.heartbeat\""}, \""priority\"": 0, \""body_encoding\"": \""base64\"", \""delivery_tag\"": \""126108ca-d602-4341-b2e3-17102408f56b\""}}"""
"18:48:33.584","[0 54.38.154.44:38324]","PUBLISH","""/0.celeryev/worker.heartbeat"" ""{\""body\"": \""eyJob3N0bmFtZSI6ICJjZWxlcnlANjY4YzQ3YTYiLCAidXRjb2Zmc2V0IjogMCwgInBpZCI6IDUsICJjbG9jayI6IDI1MjEsICJmcmVxIjogMi4wLCAiYWN0aXZlIjogMCwgInByb2Nlc3NlZCI6IDAsICJsb2FkYXZnIjogWzAuMDcsIDAuMDMsIDAuMDFdLCAic3dfaWRlbnQiOiAicHktY2VsZXJ5IiwgInN3X3ZlciI6ICI1LjYuMiIsICJzd19zeXMiOiAiTGludXgiLCAidGltZXN0YW1wIjogMTc3MDY0MTMxMy4yODY5OTgzLCAidHlwZSI6ICJ3b3JrZXItaGVhcnRiZWF0In0=\"", \""content-encoding\"": \""utf-8\"", \""content-type\"": \""application/json\"", \""headers\"": {\""hostname\"": \""celery@668c47a6\""}, \""properties\"": {\""delivery_mode\"": 1, \""delivery_info\"": {\""exchange\"": \""celeryev\"", \""routing_key\"": \""worker.heartbeat\""}, \""priority\"": 0, \""body_encoding\"": \""base64\"", \""delivery_tag\"": \""00cc5cde-a92d-4699-b283-e9e39e2826d2\""}}"""
